HUC12,DCA_CODE_2020,Sum_Survey_Acrea_2020,Sum_AreaMapped_2020,Sum_Damage_Area_2020
10100020101,0,17565.65843052641,0,0
10100020102,0,19881.681674251922,0,0
10100020103,0,15638.097825054894,0,0
10100020104,0,14247.132028332422,0,0
10100020105,0,23164.884105188725,0,0
10100020201,0,26964.860228979014,0,0
10100020202,0,12498.433764564155,0,0
10100020203,0,11755.863161502397,0,0
10100020204,0,18941.886225399434,0,0
10100020301,0,10045.388763174999,0,0
10100020302,0,10126.749846210781,0,0
10100020303,0,16856.654055196104,0,0
10100020304,0,32202.131645384943,0,0
10100020305,0,15910.608432427052,0,0
10100020306,0,11358.77922023544,0,0
10100020307,0,13169.245357942023,0,0
10100020308,0,20204.71314946112,0,0
10100020401,0,9220.609507246378,0,0
10100020402,0,11635.88148828992,0,0
10100020403,0,20062.935667055703,0,0
10100020404,0,9139.79743330109,0,0
10100020405,0,11061.906540928809,0,0
10100020406,0,10087.764326288308,0,0
10100020501,0,19262.80941542123,0,0
10100020502,0,8912.265169256823,0,0
10100020503,0,6315.64621465245,0,0
10100020504,0,3516.8323056595736,0,0
10100020505,0,15401.197165047784,0,0
10100020601,0,3685.9797617550103,0,0
10100020602,0,30681.91348843335,0,0
10100020701,0,9127.382404793037,0,0
10100020702,0,10412.33124325994,0,0
10100020703,0,16364.537951204196,0,0
10100020704,0,37637.790538950205,0,0
10100020705,0,10505.320285731686,0,0
10100020706,0,11322.539099458367,0,0
10100020707,0,7457.366569204073,0,0
10100020708,0,10885.595830365983,0,0
10100020709,0,12635.21943902131,0,0
10100020710,0,11171.468715922912,0,0
10100020711,0,56816.36893286916,0,0
10100020711,90000,63.449699972301445,63.449699972301445,4.880746151715496
10100030101,0,19566.885302878032,0,0
10100030102,0,14673.467328548999,0,0
10100030103,0,11245.766822217684,0,0
10100030104,0,15986.445925018079,0,0
10100030105,0,11228.76178004407,0,0
10100030201,0,355.1655417988673,0,0
10100030202,0,997.4725226199439,0,0
10100030203,0,21932.556308480154,0,0
10100030204,0,15718.564666289343,0,0
10100030205,0,38213.770086081015,0,0
10100030206,0,22660.542777006962,0,0
10100030207,0,15865.272069067492,0,0
10100030301,0,8295.48570167447,0,0
10100030302,0,48140.36492774153,0,0
10100030303,0,8412.598423138252,0,0
10100030304,0,16787.113514433775,0,0
10100030305,0,10069.310419660416,0,0
10100030306,0,10795.501932338799,0,0
10100030307,0,417.99978040769724,0,0
10100030308,0,5.851877567893912,0,0
10100030309,0,17264.011485889376,0,0
10100030310,0,54462.139977803796,0,0
10100030401,0,14107.297718881204,0,0
10100030402,0,9423.682538891337,0,0
10100030403,0,23356.746330091173,0,0
10100040101,0,10364.066118075403,0,0
10100040102,0,16277.062779945281,0,0
10100040103,0,15130.189525044989,0,0
10100040104,0,9974.267824166267,0,0
10100040201,0,29731.0962005964,0,0
10100040202,0,18110.69913233138,0,0
10100040203,0,6618.402288184636,0,0
10100040301,0,14155.348261679796,0,0
10100040302,0,0,0,0
10100040303,0,25382.311194756156,0,0
10100040304,0,3754.8873720101988,0,0
10100040305,0,14741.051615379982,0,0
10100040306,0,8422.26880284092,0,0
10100040401,0,12636.957708792972,0,0
10100040402,0,26551.833459261485,0,0
10100040501,0,24067.310269697286,0,0
10100040502,0,15574.385483792305,0,0
10100040503,0,13722.176527874533,0,0
10100040504,0,10786.910597067155,0,0
10100040505,0,25802.168187379488,0,0
10100040506,0,23131.125032510005,0,0
10100040507,0,21343.284030772324,0,0
10100040601,0,16810.497937748896,0,0
10100040602,0,10524.63527488589,0,0
10100040603,0,33692.48751352747,0,0
10100040604,0,11827.916317607596,0,0
10100040605,0,10255.081938177455,0,0
10100040606,0,29082.80937507922,0,0
10100040701,0,31437.382309320135,0,0
10100040702,0,29387.473556392084,0,0
10100040703,0,24926.7283252902,0,0
10100040801,0,16844.715399972145,0,0
10100040802,0,6805.808634755184,0,0
10100040803,0,7790.13401311982,0,0
10100040804,0,9684.284800387706,0,0
10100040805,0,11480.187526015372,0,0
10100040806,0,17604.012113223715,0,0
10100040901,0,4253.668142299459,0,0
10100040902,0,12933.123971646917,0,0
10100040903,0,9834.393675510239,0,0
10100040904,0,19669.52990038777,0,0
10100041001,0,21037.226635909195,0,0
10100041002,0,8949.980133821713,0,0
10100041003,0,19320.71537081973,0,0
10100041004,0,7353.70141024776,0,0
10100041005,0,18910.725073795707,0,0
10100041006,0,31212.953890875997,0,0
10100041007,0,28033.900380427807,0,0
10100041101,0,15625.219646648515,0,0
10100041102,0,10124.369062371015,0,0
10100041103,0,15052.484354855027,0,0
10100041104,0,15712.628336788259,0,0
10100041105,0,884.2510645380565,0,0
10100041106,0,1585.8978408406151,0,0
10100041107,0,1058.5164132672762,0,0
10100041201,0,35542.94159125588,0,0
10100041202,0,5000.564518929001,0,0
10100041203,0,0,0,0
10100041301,0,11097.083953169444,0,0
10100041302,0,28623.624080315323,0,0
10100041303,0,17211.41390821378,0,0
10100041304,0,20006.331903964183,0,0
10100041305,0,10020.545165882528,0,0
10100041306,0,26377.891000769076,0,0
10100041307,0,2847.8325092816476,0,0
10100041401,0,28211.924387823845,0,0
10100041402,0,10628.81802484304,0,0
10100041403,0,283.83993799516736,0,0
10100041404,0,0,0,0
10100041405,0,0,0,0
10100041406,0,0,0,0
10100041407,0,0,0,0
10100041408,0,0,0,0
10100050101,0,12167.29994122856,0,0
10100050102,0,12888.136376474942,0,0
10100050103,0,17533.143652024686,0,0
10100050201,0,14249.717531092867,0,0
10100050202,0,24454.966446782222,0,0
10100050203,0,26320.172733588737,0,0
10100050204,0,0,0,0
10100050205,0,10391.650650482927,0,0
10100050206,0,723.8015557009865,0,0
10100050301,0,83.70686038773692,0,0
10100050302,0,18734.169626843992,0,0
10100050303,0,19846.86925742226,0,0
10100050304,0,11008.768652362589,0,0
10100050305,0,29387.678041561663,0,0
10100050306,0,10219.431909143717,0,0
10100050307,0,26228.537873376492,0,0
10100050308,0,14332.972009862795,0,0
10100050309,0,0,0,0
10100060101,0,2261.405528694108,0,0
10100060102,0,3850.5008837160904,0,0
10100060103,0,23466.307469372576,0,0
10100060104,0,35068.42781590307,0,0
10100060105,0,14135.443978348942,0,0
10100060106,0,13443.891788302866,0,0
10100060107,0,10089.77692824678,0,0
