HUC12,Sum_Survey_Acrea_2012,Sum_AreaMapped_2012,Sum_Damage_Area_2012
10100020101,15196.111322403352,0,0
10100020102,6112.981230120264,0,0
10100020103,18630.050439042403,0,0
10100020104,8200.925592973053,0,0
10100020105,37714.36706878926,0,0
10100020201,21518.602768782348,0,0
10100020202,12498.433764564155,0,0
10100020203,11815.892189043234,0,0
10100020204,31262.404772302816,0,0
10100020301,0,0,0
10100020302,117.01300473274415,0,0
10100020303,2035.323987538522,0,0
10100020304,30504.78827912536,0,0
10100020305,13847.514820910648,0,0
10100020306,3.98665663464205,0,0
10100020307,6866.007068643201,0,0
10100020308,15955.752791779229,0,0
10100020401,12579.16398976818,0,0
10100020402,11635.88148828992,0,0
10100020403,25777.46315429047,0,0
10100020404,12735.710865833938,0,0
10100020405,11333.357928992593,0,0
10100020406,10005.342572345928,0,0
10100020501,19131.806294297505,0,0
10100020502,12877.587160665602,0,0
10100020503,9281.353660607361,0,0
10100020504,15295.162056452018,0,0
10100020505,10053.431021090328,0,0
10100020601,10260.865067877208,0,0
10100020602,42277.86421118232,0,0
10100020701,9127.382404793037,0,0
10100020702,7646.6423262222515,0,0
10100020703,2378.630147167791,0,0
10100020704,29998.2629362218,0,0
10100020705,12504.280791450057,0,0
10100020706,2998.933695012291,0,0
10100020707,4903.008319419088,0,0
10100020708,8235.296879926454,0,0
10100020709,7584.251330356789,0,0
10100020710,7220.589117157832,0,0
10100020711,47382.36397543258,0,0
10100030101,4799.4035176069665,0,0
10100030102,18565.516281508375,0,0
10100030103,3956.854442089657,0,0
10100030104,12907.788422386699,0,0
10100030105,10793.574275051267,0,0
10100030201,0,0,0
10100030202,0,0,0
10100030203,8185.697866477412,0,0
10100030204,3901.6464192826256,0,0
10100030205,17833.03347838901,0,0
10100030206,0,0,0
10100030207,2110.029033767223,0,0
10100030301,3037.63883015855,0,0
10100030302,2869.1781218469796,0,0
10100030303,292.11581964651936,0,0
10100030304,15953.781229549773,0,0
10100030305,7282.123434027521,0,0
10100030306,5389.849488114852,0,0
10100030307,1038.147336842032,0,0
10100030308,16595.51057540599,0,0
10100030309,17050.04830749317,0,0
10100030310,20358.442346068783,0,0
10100030401,24555.65505793482,0,0
10100030402,8383.60642195626,0,0
10100030403,8365.98540454069,0,0
10100040101,14248.768769947083,0,0
10100040102,15553.914981199243,0,0
10100040103,8862.618743969118,0,0
10100040104,8261.450641623365,0,0
10100040201,5198.986951110471,0,0
10100040202,10558.963578721787,0,0
10100040203,204.58623456842832,0,0
10100040301,987.9591298166679,0,0
10100040302,9529.513492029211,0,0
10100040303,978.200599425787,0,0
10100040304,489.65701396029505,0,0
10100040305,16794.561841290066,0,0
10100040306,11983.820552811741,0,0
10100040401,7679.414240135887,0,0
10100040402,25510.493256166494,0,0
10100040501,26762.852561611795,0,0
10100040502,17338.370669457796,0,0
10100040503,18718.855519379093,0,0
10100040504,10786.910597067155,0,0
10100040505,24850.199754936584,0,0
10100040506,23192.86616688415,0,0
10100040507,21312.751150846605,0,0
10100040601,3075.0529891085116,0,0
10100040602,38.59631467542248,0,0
10100040603,10944.771976023134,0,0
10100040604,1455.481151567275,0,0
10100040605,10255.081938177455,0,0
10100040606,28794.761696769056,0,0
10100040701,5488.53364459077,0,0
10100040702,10835.590272065825,0,0
10100040703,7769.089399812396,0,0
10100040801,10064.510862509605,0,0
10100040802,17146.348802505865,0,0
10100040803,0,0,0
10100040804,1086.0589959382844,0,0
10100040805,1668.4055034937217,0,0
10100040806,8155.961509795068,0,0
10100040901,21631.412844531904,0,0
10100040902,9697.558693896088,0,0
10100040903,6622.546664443478,0,0
10100040904,19658.43808905051,0,0
10100041001,34896.45066999042,0,0
10100041002,11556.671204608672,0,0
10100041003,19496.203558657555,0,0
10100041004,0,0,0
10100041005,4493.818055719949,0,0
10100041006,30604.240139889716,0,0
10100041007,28385.083936377832,0,0
10100041101,14820.3687295353,0,0
10100041102,5926.899487328265,0,0
10100041103,14835.620437185435,0,0
10100041104,18564.717348791153,0,0
10100041105,11712.188847167441,0,0
10100041106,27200.95122158558,0,0
10100041107,17172.163269324337,0,0
10100041201,35553.46841472794,0,0
10100041202,26687.427745825276,0,0
10100041203,15844.02416319198,0,0
10100041301,78.80595239501118,0,0
10100041302,15788.172237893761,0,0
10100041303,2089.1330395313767,0,0
10100041304,19867.31695526723,0,0
10100041305,15196.491482392761,0,0
10100041306,26061.815555806646,0,0
10100041307,18367.9440074115,0,0
