HUC12,DCA_CODE_2000,Sum_Survey_Acrea_2000,Sum_AreaMapped_2000,Sum_Damage_Area_2000
10100020101,0,16087.57842352186,0,0
10100020102,0,15.625016977783407,0,0
10100020103,0,16172.801589609568,0,0
10100020104,0,281.5256010621472,0,0
10100020105,0,35395.83764942642,0,0
10100020201,0,3016.2214764478513,0,0
10100020202,0,11405.226099054873,0,0
10100020203,0,8195.538376288361,0,0
10100020204,0,30334.254421003247,0,0
10100020301,0,0,0,0
10100020302,0,497.96451915330204,0,0
10100020303,0,18.442365330577967,0,0
10100020304,0,9474.871490531135,0,0
10100020305,0,0,0,0
10100020306,0,3677.9321916185904,0,0
10100020307,0,4384.289732861287,0,0
10100020308,0,216.1469208367203,0,0
10100020401,0,16094.54957630556,0,0
10100020402,0,2204.0234343930806,0,0
10100020403,0,24870.934761224667,0,0
10100020404,0,14553.801506355945,0,0
10100020405,0,11322.885116242043,0,0
10100020406,0,3273.4065634882104,0,0
10100020501,0,9265.113500045538,0,0
10100020502,0,19460.69587522216,0,0
10100020503,0,4780.537201294226,0,0
10100020504,0,8138.015577110917,0,0
10100020505,0,20131.954755110215,0,0
10100020601,0,0,0,0
10100020602,0,5953.98932933429,0,0
10100020701,0,1991.5217666915264,0,0
10100020702,0,1546.6099522590719,0,0
10100020703,0,7276.281870225137,0,0
10100020704,0,34288.85831156536,0,0
10100020705,0,15583.43027946846,0,0
10100020706,0,8369.256698130452,0,0
10100020707,0,7457.366569204073,0,0
10100020708,0,10325.918591992371,0,0
10100020709,0,12437.564104177314,0,0
10100020710,0,11171.468715922912,0,0
10100020711,0,53862.29001517279,0,0
10100030101,0,0,0,0
10100030102,0,6339.869504736373,0,0
10100030103,0,5.178022453860362,0,0
10100030104,0,4024.564065862979,0,0
10100030105,0,7219.816090155108,0,0
10100030201,0,10194.475185592297,0,0
10100030202,0,10163.625409398275,0,0
10100030203,0,38534.39674923283,0,0
10100030204,0,13993.402033495013,0,0
10100030205,0,34526.802892011045,0,0
10100030206,0,24702.885823374458,0,0
10100030207,0,18737.42699635279,0,0
10100030301,0,0,0,0
10100030302,0,0,0,0
10100030303,0,1647.0988969810774,0,0
10100030304,0,590.0958462771584,0,0
10100030305,0,3565.917639507065,0,0
10100030306,0,12923.897011869001,0,0
10100030307,0,7343.938064064493,0,0
10100030308,0,4417.849921228198,0,0
10100030309,0,29667.587976601644,0,0
10100030310,0,56541.1122326596,0,0
10100030401,0,22248.798495491275,0,0
10100030402,0,0,0,0
10100030403,0,15216.93725010384,0,0
10100040101,0,2266.2736594268445,0,0
10100040102,0,623.4302846380868,0,0
10100040103,0,0,0,0
10100040104,0,0,0,0
10100040201,0,292.4025012363081,0,0
10100040202,0,0,0,0
10100040203,0,0,0,0
10100040301,0,0,0,0
10100040302,0,0,0,0
10100040303,0,0,0,0
10100040304,0,0,0,0
10100040305,0,0,0,0
10100040306,0,0,0,0
10100040401,0,27497.458614981162,0,0
10100040402,0,24435.22790652868,0,0
10100040501,0,1542.7821150769635,0,0
10100040502,0,10178.509681604339,0,0
10100040503,0,0,0,0
10100040504,0,0,0,0
10100040505,0,397.24833158172453,0,0
10100040506,0,1353.0101376905147,0,0
10100040507,0,5889.257378601134,0,0
10100040601,0,7110.638637391171,0,0
10100040602,0,4672.8596617352005,0,0
10100040603,0,8702.8473939025,0,0
10100040604,0,11261.05765519299,0,0
10100040605,0,9779.51545098203,0,0
10100040606,0,28910.089217629135,0,0
10100040701,0,0,0,0
10100040702,0,0,0,0
10100040703,0,0,0,0
10100040801,0,287.49650876540636,0,0
10100040802,0,0,0,0
10100040803,0,2501.534352153951,0,0
10100040804,0,9684.284800387706,0,0
10100040805,0,19295.429991603454,0,0
10100040806,0,14113.175476878976,0,0
10100040901,0,0,0,0
10100040902,0,2207.9249010314556,0,0
10100040903,0,5467.613036214463,0,0
10100040904,0,4687.234648759418,0,0
10100041001,0,9249.820334632392,0,0
10100041002,0,10615.834192397955,0,0
10100041003,0,19559.501294180965,0,0
10100041004,0,19775.955523700613,0,0
10100041005,0,20922.801863115896,0,0
10100041006,0,14289.739510731675,0,0
10100041007,0,28317.72133561669,0,0
10100041101,0,1601.9841926879378,0,0
10100041102,0,2107.0576267550114,0,0
10100041103,0,15052.484354855027,0,0
10100041104,0,18021.21644561484,0,0
10100041105,0,11712.188847167441,0,0
10100041106,0,27200.95122158558,0,0
10100041107,0,28615.318941974805,0,0
10100041201,0,35561.31606042102,0,0
10100041202,0,21465.92067564792,0,0
10100041203,0,1585.0134172947664,0,0
10100041301,0,22224.92960739617,0,0
10100041302,0,32777.094084693555,0,0
10100041303,0,3072.3602926333124,0,0
10100041304,0,0,0,0
10100041305,0,0,0,0
10100041306,0,9535.323488388069,0,0
10100041307,0,0,0,0
10100041401,0,18210.87780337808,0,0
10100041402,0,0,0,0
10100041403,0,0,0,0
10100041404,0,0,0,0
10100041405,0,0,0,0
10100041406,0,0,0,0
10100041407,0,0,0,0
10100041408,0,0,0,0
10100050101,0,0,0,0
10100050102,0,0,0,0
10100050103,0,1531.76087190769,0,0
10100050201,0,0,0,0
10100050202,0,16194.667098364305,0,0
10100050203,0,20786.71544716939,0,0
10100050204,0,14727.337051143846,0,0
10100050205,0,14360.61764488397,0,0
10100050206,0,7790.5243173638755,0,0
10100050301,0,9250.321399761979,0,0
10100050302,0,22774.726016291464,0,0
10100050302,12047,255.78027746082736,255.78027746082736,19.675405958525182
10100050302,12139,255.78027746082736,255.78027746082736,19.675405958525182
10100050303,0,11274.688288149002,0,0
10100050304,0,10836.295438265382,0,0
10100050304,12047,86.23660704860326,86.23660704860326,6.633585157584866
10100050304,12139,86.23660704860326,86.23660704860326,6.633585157584866
10100050305,0,29058.71099144355,0,0
10100050306,0,10219.431909143717,0,0
10100050307,0,23411.452011385725,0,0
10100050307,12047,54.276418341318234,54.276418341318234,4.175109103178325
