OID,DCA_Code,Common_Name,Scientific_Name,Category
-1,11069,peach bark beetle,Phloeotribus liminaris,Bark Beetles
-1,11070,European oak ambrosia beetle,Xyleborus monographus,Bark Beetles
-1,11800,"other bark beetle, known (code pending)","<other bark beetle, known (code pending)>",Bark Beetles
-1,11900,unknown bark beetle,<unknown bark beetle>,Bark Beetles
-1,12000,defoliators,<defoliators>,Defoliators
-1,12001,casebearer,<casebearer>,Defoliators
-1,12002,leaftier,<leaftier>,Defoliators
-1,12003,loopers,<loopers>,Defoliators
-1,12004,needleminers,<needleminers>,Defoliators
-1,12005,sawflies,<Symphyta>,Defoliators
-1,12006,skeletonizer,<skeletonizer>,Defoliators
-1,12007,larger elm leaf beetle,Monocesta coryli,Defoliators
-1,12008,spanworm,<spanworm>,Defoliators
-1,12009,webworm,<webworm>,Defoliators
-1,12010,pine false webworm,Acantholyda erythrocephala,Defoliators
-1,12011,western blackheaded budworm,Acleris gloverana,Defoliators
-1,12012,eastern blackheaded budworm,Acleris variana,Defoliators
-1,12013,whitefly,<Aleyrodidae>,Defoliators
-1,12014,fall cankerworm,Alsophila pometaria,Defoliators
-1,12015,alder flea beetle,Macrohaltica ambiens,Defoliators
-1,12016,mountain mahogany looper,Anacamptodes clivinaria profanata,Defoliators
-1,12017,birch leaffolder,Ancylis discigerana,Defoliators
-1,12018,oak worms,Anisota spp.,Defoliators
-1,12019,orangestriped oakworm,Anisota senatoria,Defoliators
-1,12020,western larch sawfly,Anoplonyx occidens,Defoliators
-1,12021,fruittree leafroller,Archips argyrospila,Defoliators
-1,12022,uglynest caterpillar,Archips cerasivorana,Defoliators
-1,12023,boxelder defoliator,Archips negundanus,Defoliators
-1,12024,oak leafroller,Archips semiferana,Defoliators
-1,12025,birch sawfly,Arge pectoralis,Defoliators
-1,12026,arborvitae leafminer,Argyresthia thuiella,Defoliators
-1,12028,Texas leafcutting ant,Atta texana,Defoliators
-1,12029,oak skeletonizer,Bucculatrix ainsliella,Defoliators
-1,12030,pear sawfly,Caliroa cerasi,Defoliators
-1,12031,scarlet oak sawfly,Caliroa quercuscoccineae,Defoliators
-1,12032,elm calligrapha,Calligrapha scalaris,Defoliators
-1,12033,boxelder leafroller,Caloptilia negundella,Defoliators
-1,12034,maple petiole borer,Caulocampus acericaulis,Defoliators
-1,12035,spruce webspinning sawfly,Cephalcia fascipennis,Defoliators
-1,12036,two-year-cycle budworm,Choristoneura biennis,Defoliators
-1,12037,large aspen tortrix,Choristoneura conflictana,Defoliators
-1,12038,spruce budworm,Choristoneura fumiferana,Defoliators
-1,12039,western pine budworm,Choristoneura lambertiana,Defoliators
-1,12040,western spruce budworm,Choristoneura freemani,Defoliators
