HUC12,Sum_Survey_Acrea_2006,Sum_AreaMapped_2006,Sum_Damage_Area_2006
10100020101,7389.729610879512,0,0
10100020102,20053.74689206783,0,0
10100020103,6320.0707928227275,0,0
10100020104,14247.132028332422,0,0
10100020105,37714.36706878926,0,0
10100020201,26987.53904917203,0,0
10100020202,757.2729873616936,0,0
10100020203,956.7313306325093,0,0
10100020204,27374.224003189178,0,0
10100020301,10045.388763174999,0,0
10100020302,10126.749846210781,0,0
10100020303,17244.36490087725,0,0
10100020304,39202.15927571574,0,0
10100020305,15910.608432427052,0,0
10100020306,11358.77922023544,0,0
10100020307,13169.245357942023,0,0
10100020308,20204.71314946112,0,0
10100020401,5082.580052450526,0,0
10100020402,11635.88148828992,0,0
10100020403,27890.008282357034,0,0
10100020404,14551.675857585647,0,0
10100020405,11333.357928992593,0,0
10100020406,10087.764326288308,0,0
10100020501,15686.413057710424,0,0
10100020502,25700.87351551171,0,0
10100020503,11694.403661981762,0,0
10100020504,19077.320158611965,0,0
10100020505,20131.954755110215,0,0
10100020601,10510.795680172061,0,0
10100020602,39323.130066551385,0,0
10100020701,9127.382404793037,0,0
10100020702,10412.33124325994,0,0
10100020703,12236.165650175753,0,0
10100020704,37161.161852684294,0,0
10100020705,19611.590363588024,0,0
10100020706,0,0,0
10100020707,3481.4368712211167,0,0
10100020708,0,0,0
10100020709,10428.322025256768,0,0
10100020710,0,0,0
10100020711,3568.9224614674727,0,0
10100030101,2563.498350325679,0,0
10100030102,16376.319984476977,0,0
10100030103,4984.264759782915,0,0
10100030104,15892.59492642049,0,0
10100030105,11228.76178004407,0,0
10100030201,10194.475185592297,0,0
10100030202,10163.625409398275,0,0
10100030203,38660.01777764447,139.06923139733075,10.697633184410059
10100030204,3271.448411989167,0,0
10100030205,24848.137871450443,0,0
10100030206,1800.8563335245478,0,0
10100030207,29310.903356080824,0,0
10100030301,0,0,0
10100030302,0,0,0
10100030303,0,0,0
10100030304,187.33716906875807,0,0
10100030305,9147.891496855387,0,0
10100030306,9787.532846664799,0,0
10100030307,403.019077217571,0,0
10100030308,1479.1823916539834,0,0
10100030309,27662.34246579434,0,0
10100030310,33328.176937924,0,0
10100030401,6000.7429899834815,0,0
10100030402,2904.4452807403723,0,0
10100030403,22565.059748550422,0,0
10100040101,7977.540716579161,0,0
10100040102,27825.593409552424,168.04036083333065,12.926181602563897
10100040103,13759.858480215582,0,0
10100040104,9974.267824166267,0,0
10100040201,397.2647377119765,0,0
10100040202,8765.415541535453,0,0
10100040203,21759.600845076056,0,0
10100040301,15710.927157333215,0,0
10100040302,11343.76011688089,0,0
10100040303,13459.431693868508,0,0
10100040304,9614.759668177448,0,0
10100040305,7837.459792401958,0,0
10100040306,20194.03480572625,0,0
10100040401,23021.683487896225,0,0
10100040402,26551.833459261485,0,0
10100040501,21889.912915289682,0,0
10100040502,25567.777575811462,0,0
10100040503,18947.24580685007,0,0
10100040504,10786.910597067155,0,0
10100040505,25802.168187379488,0,0
10100040506,22891.489742121787,0,0
10100040507,21159.479095690862,0,0
10100040601,14772.802503713763,0,0
10100040602,3186.587738886542,0,0
10100040603,29987.759183677696,0,0
10100040604,4417.694004164652,0,0
10100040605,10255.081938177455,0,0
10100040606,28842.25986250485,0,0
10100040701,31437.382309320135,0,0
10100040702,36006.16646586131,0,0
10100040703,22941.726668312014,0,0
10100040801,8499.410114262957,0,0
10100040802,31176.00991727086,712.9916394896761,54.84551072997509
10100040803,11108.243024312731,335.8609570890434,25.835458237618724
10100040804,4597.6562555441715,0,0
10100040805,24387.36040184619,80.04282968724566,6.157140745172743
10100040806,16278.13456541401,0,0
10100040901,17413.613701927185,0,0
10100040902,0,0,0
10100040903,7845.232480484774,0,0
10100040904,0,0,0
10100041001,35305.70140516373,0,0
10100041002,10064.65091654138,0,0
10100041003,19526.526496106282,0,0
10100041004,19775.955523700613,0,0
10100041005,20922.801863115896,0,0
10100041006,11839.803563383888,0,0
10100041007,18759.5036831719,0,0
10100041101,14337.759153663044,0,0
10100041102,8723.868367668689,0,0
10100041103,13334.858490100527,0,0
10100041104,15591.02347364986,0,0
10100041105,11712.188847167441,0,0
10100041106,27158.150839837926,0,0
10100041107,13194.652515892596,0,0
10100041201,28143.949742884168,0,0
10100041202,26364.84485325757,0,0
10100041203,18934.722104192384,0,0
10100041301,15016.272260125386,0,0
10100041302,19632.988627225666,0,0
10100041303,0,0,0
10100041304,0,378.01828125031375,29.078329326947213
10100041305,656.3014914220414,0,0
10100041306,194.2822025524419,0,0
10100041307,23377.71923774,0,0
10100041401,22657.96350848346,0,0
10100041402,5910.298957937135,0,0
10100041403,15121.232531017406,0,0
10100041404,0,0,0
10100041405,0,0,0
10100041406,11342.872140813453,0,0
10100041407,5813.703203488085,0,0
10100041408,0,0,0
10100050101,10046.642853173224,0,0
10100050102,12888.136376474942,0,0
10100050103,17410.176614904332,0,0
10100050201,14249.717531092867,0,0
10100050202,20596.657916024873,0,0
10100050203,20972.360447743315,0,0
10100050204,12934.736080933466,0,0
10100050205,11490.204597259279,0,0
10100050206,3170.688124243955,0,0
10100050301,11706.249169053677,0,0
10100050302,20999.62612185277,0,0
10100050303,20922.04436462004,0,0
10100050304,4145.60359426796,0,0
10100050305,11545.86247908363,0,0
10100050306,7505.962640861642,0,0
10100050307,26193.234744105812,0,0
10100050308,12458.605487203937,0,0
10100050309,0,0,0
10100060101,13973.434677206045,0,0
10100060102,12276.086413687382,0,0
10100060103,21528.224876111246,0,0
10100060104,41409.79776775212,0,0
10100060105,13900.068544175036,0,0
10100060106,13443.891788302866,0,0
