HUC12,Sum_Survey_Acrea_2008,Sum_AreaMapped_2008,Sum_Damage_Area_2008
10100020101,17565.65843052641,0,0
10100020102,20053.74689206783,0,0
10100020103,14292.720143036926,0,0
10100020104,14247.132028332422,0,0
10100020105,37714.36706878926,0,0
10100020201,25790.735355361085,0,0
10100020202,12498.433764564155,0,0
10100020203,12177.82465350853,0,0
10100020204,28935.779065758376,0,0
10100020301,10045.388763174999,0,0
10100020302,10126.749846210781,0,0
10100020303,17244.36490087725,0,0
10100020304,39202.15927571574,0,0
10100020305,15910.608432427052,0,0
10100020306,11358.77922023544,0,0
10100020307,9824.074661665456,0,0
10100020308,20204.71314946112,0,0
10100020401,15958.130647711316,0,0
10100020402,8337.193609603099,0,0
10100020403,14016.605259366763,0,0
10100020404,11546.27949778155,0,0
10100020405,11333.357928992593,0,0
10100020406,10087.764326288308,0,0
10100020501,22649.756515069774,0,0
10100020502,25700.87351551171,0,0
10100020503,10748.5453653179,0,0
10100020504,12410.848347056528,0,0
10100020505,18976.44921615854,0,0
10100020601,9760.303362943372,0,0
10100020602,45033.30159327298,0,0
10100020701,5698.621905239401,0,0
10100020702,8148.679479285322,0,0
10100020703,16334.467708150098,0,0
10100020704,37637.790538950205,0,0
10100020705,20009.05472724334,0,0
10100020706,11322.539099458367,0,0
10100020707,7457.366569204073,0,0
10100020708,10885.595830365983,0,0
10100020709,14320.718446405464,0,0
10100020710,11171.468715922912,0,0
10100020711,54704.159022437096,0,0
10100030101,19566.885302878032,0,0
10100030102,24282.95944794012,0,0
10100030103,11245.766822217684,0,0
10100030104,15986.445925018079,0,0
10100030105,11228.76178004407,0,0
10100030201,10194.475185592297,0,0
10100030202,6868.292521566358,0,0
10100030203,39075.53548042581,0,0
10100030204,17375.214410161796,0,0
10100030205,22223.975594463154,0,0
10100030206,26606.987722067257,0,0
10100030207,6198.240793698233,0,0
10100030301,0,0,0
10100030302,0,0,0
10100030303,0,0,0
10100030304,0,0,0
10100030305,0,0,0
10100030306,625.5431347283248,0,0
10100030307,8571.288025043483,0,0
10100030308,10472.069680879587,0,0
10100030309,18384.36184253624,0,0
10100030310,61418.62861514938,0,0
10100030401,27241.152415923887,0,0
10100030402,0,0,0
10100030403,8614.617970279625,0,0
10100040101,16356.566958693751,0,0
10100040102,22825.375042649524,0,0
10100040103,7963.41465324383,0,0
10100040104,0,0,0
10100040201,28420.207809413645,0,0
10100040202,24493.455420869534,0,0
10100040203,12120.594268364704,0,0
10100040301,15608.54158299119,0,0
10100040302,1490.4478122527807,0,0
10100040303,26648.880616563638,0,0
10100040304,11247.806117592141,0,0
10100040305,0,0,0
10100040306,6638.105287449403,0,0
10100040401,26216.67869635005,0,0
10100040402,26551.833459261485,0,0
10100040501,21909.795412106432,0,0
10100040502,292.55035836013656,0,0
10100040503,3500.2717475005065,0,0
10100040504,10465.861665689481,0,0
10100040505,24690.27722300988,0,0
10100040506,23192.55571087152,0,0
10100040507,21343.284030772324,0,0
10100040601,418.4128937228,0,0
10100040602,0,0,0
10100040603,1783.5315234056166,0,0
10100040604,3950.189916233366,0,0
10100040605,10255.081938177455,0,0
10100040606,29082.80937507922,0,0
10100040701,31437.382309320135,0,0
10100040702,31586.755859374243,0,0
10100040703,25886.279552205688,0,0
10100040801,0,0,0
10100040802,23131.613721478694,0,0
10100040803,11108.243024312731,0,0
10100040804,5460.17317791074,0,0
10100040805,24462.75131048193,0,0
10100040806,14914.613810492347,0,0
10100040901,2524.7762971583916,0,0
10100040902,7069.76292840094,0,0
10100040903,6471.973941412684,0,0
10100040904,15157.724093963356,0,0
10100041001,39992.168907953885,0,0
10100041002,11556.671204608672,0,0
10100041003,19559.501294180965,0,0
10100041004,19775.955523700613,0,0
10100041005,20922.801863115896,0,0
10100041006,27626.050685453418,0,0
10100041007,28326.60789057722,0,0
10100041101,1563.5702455592098,0,0
10100041102,7067.620079487474,0,0
10100041103,15052.484354855027,0,0
10100041104,10079.085731296598,0,0
10100041105,4900.867236784149,0,0
10100041106,18880.789533678,0,0
10100041107,1552.6947444398124,0,0
10100041201,28311.93643271081,0,0
10100041202,3608.1311668883523,0,0
10100041203,0,0,0
10100041301,11478.59980709365,0,0
10100041302,29826.99472717352,0,0
10100041303,0,0,0
10100041304,0,0,0
10100041305,0,0,0
10100041306,109.75986739379452,0,0
10100041307,0,0,0
10100041401,3598.7188295909345,0,0
10100041402,0,0,0
10100041403,0,0,0
10100041404,137.87689915232139,0,0
10100041405,0,0,0
10100041406,0,0,0
10100041407,0,0,0
10100041408,0,0,0
10100050101,12167.29994122856,0,0
10100050102,12888.136376474942,0,0
10100050103,17533.143652024686,0,0
10100050201,0,0,0
10100050202,13473.618675370491,0,0
10100050203,15647.05541825404,0,0
10100050204,11072.97353808466,0,0
10100050205,14328.58492188732,0,0
10100050206,2302.1296225986603,0,0
10100050301,11706.249169053677,0,0
10100050302,15058.754631877075,0,0
10100050303,20938.98281667009,0,0
10100050304,9551.331584466392,0,0
10100050305,20846.073149083593,0,0
10100050306,10219.431909143717,0,0
10100050307,21460.8392783154,13.95939087799789,1.07379929830753
10100050308,10895.13523470586,7.224828763377118,0.5557560587213168
10100050309,0,0,0
10100060101,9825.58305461301,237.7858217300301,18.29121705615616
10100060102,15123.814858265116,49.85639001848401,3.8351069244987697
10100060103,23466.307469372576,0,0
10100060104,43548.95060743536,0,0
10100060105,14135.443978348942,0,0
10100060106,13443.891788302864,32.90283399385821,2.5309872302967857
10100060107,10089.77692824678,0,0
10100060108,16067.01911063529,0,0
10100060109,32487.907798851083,0,0
10100060110,12106.538716683797,0,0
10100060111,32748.398928603725,0,0
10100060201,5926.654202428863,0,0
10100060202,0,0,0
10100060203,18954.43486160612,0,0
10100060204,5477.025596429119,0,0
10100060205,0,0,0
10100060206,18351.153922340916,0,0
10100060207,13478.261841362673,0,0
10100060208,22873.038866784973,0,0
10100060209,17016.015113203644,0,0
10100060301,0,0,0
10100060302,0,0,0
10100060303,0,0,0
10100060304,0,0,0
10100060305,0,0,0
10100060306,0,0,0
10100060307,0,0,0
10100060308,0,0,0
10100060309,7216.501284206739,0,0
10100060401,0,0,0
10100060402,0,0,0
10100060403,0,0,0
10100060404,0,0,0
10100060405,1152.728678570223,0,0
10100060406,0,0,0
10100060407,366.2395768950126,0,0
10100060408,7244.3222010314275,0,0
10100060409,20555.977593485302,0,0
10100070101,22781.177751170126,0,0
10100070102,11874.308403251383,0,0
10100070103,30451.809348233517,0,0
10100070201,13984.584317775389,0,0
10100070202,13863.54583788793,0,0
10100070203,33685.69862362142,0,0
10100070204,18579.80408415342,0,0
10100070205,22154.050786688917,0,0
10100070301,15338.938420369313,0,0
10100070302,5242.980194797286,0,0
10100070303,4348.272031961249,0,0
10100070304,4806.283904721259,0,0
10100070305,11226.152658814468,0,0
10100070401,0,0,0
10100070402,0,0,0
10100070403,0,0,0
10100070404,0,0,0
10100070405,0,0,0
10100070406,0,0,0
10100070407,0,0,0
10100070408,0,0,0
10100070409,0,0,0
10100070410,11168.558300759383,0,0
10100070501,0,0,0
10100070502,0,0,0
10100070503,0,0,0
10100070504,0,0,0
10100070505,0,0,0
10100070506,2069.9759107153354,0,0
10100070601,10244.576674710457,0,0
10100070602,15909.81789039263,0,0
10100070603,24163.76979881824,0,0
10100070701,0,0,0
10100070702,0,0,0
10100070703,15269.202042293979,0,0
10100070801,29702.60831901793,0,0
10100070802,249.03800595695864,0,0
10100070803,16072.252832266224,0,0
10100070804,11804.668032610803,0,0
10100070805,8439.388913870956,0,0
10100070901,1401.2845378339346,0,0
10100070902,3319.2445917435352,0,0
10100070903,0,0,0
10100070904,0,0,0
10100070905,3189.179648635926,0,0
10100070906,16650.313900314286,0,0
10100070907,16445.802877808354,0,0
10100070908,40040.21815045688,0,0
10100071001,12354.731425211205,0,0
10100071002,11276.626960371828,0,0
