HUC12,Sum_Survey_Acrea_2003,Sum_AreaMapped_2003,Sum_Damage_Area_2003
10100020101,0,0,0
10100020102,0,0,0
10100020103,0,0,0
10100020104,0,0,0
10100020105,0,0,0
10100020201,0,0,0
10100020202,0,0,0
10100020203,0,0,0
10100020204,0,0,0
10100020301,0,0,0
10100020302,0,0,0
10100020303,0,0,0
10100020304,0,0,0
10100020305,0,0,0
10100020306,0,0,0
10100020307,0,0,0
10100020308,0,0,0
10100020401,0,0,0
10100020402,0,0,0
10100020403,0,0,0
10100020404,0,0,0
10100020405,0,0,0
10100020406,0,0,0
10100020501,0,0,0
10100020502,0,0,0
10100020503,0,0,0
10100020504,0,0,0
10100020505,0,0,0
10100020601,0,0,0
10100020602,0,0,0
10100020701,0,0,0
10100020702,0,0,0
10100020703,0,0,0
10100020704,0,0,0
10100020705,0,0,0
10100020706,0,0,0
10100020707,0,0,0
10100020708,0,0,0
10100020709,0,0,0
10100020710,0,0,0
10100020711,0,0,0
10100030101,0,0,0
10100030102,0,0,0
10100030103,0,0,0
10100030104,0,0,0
10100030105,0,0,0
10100030201,2769.1420753609045,0,0
10100030202,8813.267374653524,0,0
10100030203,16478.795980915496,0,0
10100030204,0,0,0
10100030205,36.67170062862457,0,0
10100030206,7622.020285262846,0,0
10100030207,27007.413985832725,0,0
10100030301,8295.48570167447,0,0
10100030302,39290.177018729955,0,0
10100030303,7210.311075189876,0,0
10100030304,15426.554879401003,0,0
10100030305,10069.310419660416,0,0
10100030306,8972.637111176244,0,0
10100030307,172.65132690901058,0,0
10100030308,12786.348024432791,0,0
10100030309,12768.00938671378,0,0
10100030310,54704.717673833446,0,0
10100030401,9570.366895885141,0,0
10100030402,5053.216698689127,0,0
10100030403,23729.109262173366,0,0
10100040101,0,0,0
10100040102,0,0,0
10100040103,0,0,0
10100040104,0,0,0
10100040201,0,0,0
10100040202,0,0,0
10100040203,0,0,0
10100040301,0,0,0
10100040302,0,0,0
10100040303,0,0,0
10100040304,0,0,0
10100040305,0,0,0
10100040306,0,0,0
10100040401,6793.100684641541,0,0
10100040402,26077.906463349125,0,0
10100040501,11163.377549056197,0,0
10100040502,6156.522657274269,0,0
10100040503,232.71685264524376,0,0
10100040504,0,0,0
10100040505,7221.6686075641555,0,0
10100040506,14934.804295086047,0,0
10100040507,16459.365450523444,0,0
10100040601,0,0,0
10100040602,0,0,0
10100040603,33.82717385733344,0,0
10100040604,1537.6938737265075,0,0
10100040605,10255.081938177455,0,0
10100040606,28553.859094681957,0,0
10100040701,0,0,0
10100040702,0,0,0
10100040703,0,0,0
10100040801,0,0,0
10100040802,0,0,0
10100040803,0,0,0
10100040804,216.0871373234702,0,0
10100040805,127.07201106391794,0,0
10100040806,6338.903299660773,0,0
10100040901,23776.924342079445,0,0
10100040902,4460.622726241392,0,0
10100040903,9834.393675510239,0,0
10100040904,5366.4339320170575,0,0
10100041001,11625.074416738626,0,0
10100041002,11556.671204608672,0,0
10100041003,19122.200688322602,0,0
10100041004,10935.96238798206,0,0
10100041005,14211.301655028006,0,0
10100041006,24850.691442091458,0,0
10100041007,0,0,0
10100041101,591.0117044887443,0,0
10100041102,1056.4416795659488,0,0
10100041103,1968.5633949623673,0,0
10100041104,0,0,0
10100041105,0,0,0
10100041106,0,0,0
10100041107,1244.0781858119997,0,0
10100041201,0,0,0
10100041202,540.1784177157426,0,0
10100041203,27728.152436745764,0,0
10100041301,907.5251498111444,0,0
10100041302,0,0,0
10100041303,7257.746517539628,0,0
10100041304,18139.775713805848,0,0
10100041305,15196.491482392761,0,0
10100041306,6616.818713297612,0,0
10100041307,24132.71853746335,0,0
10100041401,2743.4845113381216,0,0
10100041402,9207.624110903378,0,0
10100041403,31778.200395405558,0,0
10100041404,17297.868952799254,0,0
10100041405,0,0,0
10100041406,10414.440398687959,0,0
10100041407,6318.972167706702,0,0
10100041408,2008.3163378626286,0,0
10100050101,12167.29994122856,0,0
10100050102,12888.136376474942,0,0
10100050103,16184.835667926354,0,0
