HUC12,Sum_Survey_Acrea_2013,Sum_AreaMapped_2013,Sum_Damage_Area_2013
10100020101,16487.30253204766,0,0
10100020102,5692.710216870398,0,0
10100020103,15063.552907042324,0,0
10100020104,4707.238242379083,0,0
10100020105,37714.36706878926,0,0
10100020201,14659.06522911517,0,0
10100020202,12498.433764564155,0,0
10100020203,12177.82465350853,0,0
10100020204,31262.404772302816,0,0
10100020301,9269.913857430562,0,0
10100020302,10126.749846210781,0,0
10100020303,13226.790461741817,0,0
10100020304,38503.590606304504,0,0
10100020305,12586.21321386691,0,0
10100020306,11090.162075822936,0,0
10100020307,11465.65467000567,0,0
10100020308,20204.71314946112,0,0
10100020401,12747.513039638128,0,0
10100020402,11635.88148828992,0,0
10100020403,24141.13681688098,0,0
10100020404,8886.203419925123,0,0
10100020405,11293.978160778508,0,0
10100020406,10087.764326288308,0,0
10100020501,16558.15677313232,0,0
10100020502,1325.7100574388103,0,0
10100020503,0,0,0
10100020504,0,0,0
10100020505,3044.5531375272003,0,0
10100020601,10536.596209707013,0,0
10100020602,27401.11124950326,0,0
10100020701,8216.38670481289,0,0
10100020702,6918.588008204994,0,0
10100020703,6328.291563195447,0,0
10100020704,25504.81005211677,0,0
10100020705,0,0,0
10100020706,11322.539099458367,0,0
10100020707,1936.380581784091,0,0
10100020708,10885.595830365983,0,0
10100020709,10353.518089453022,0,0
10100020710,11171.468715922912,0,0
10100020711,47039.501534768635,0,0
10100030101,4892.96176039212,0,0
10100030102,20953.21159911674,0,0
10100030103,11224.724649284924,0,0
10100030104,15986.445925018079,0,0
10100030105,11228.76178004407,0,0
10100030201,7341.605519609822,0,0
10100030202,0,0,0
10100030203,18037.160928361965,0,0
10100030204,18843.80318638967,0,0
10100030205,35471.09820441546,0,0
10100030206,28165.93965453744,0,0
10100030207,15930.51276521994,0,0
10100030301,7206.633523073197,0,0
10100030302,47519.43912380101,0,0
10100030303,2.159461906453382,0,0
10100030304,15813.048125892294,0,0
10100030305,7329.20285943293,0,0
10100030306,0,0,0
10100030307,7978.362407204667,0,0
10100030308,17288.67397158371,0,0
10100030309,2339.453679728311,0,0
10100030310,44769.542507960796,0,0
10100030401,43099.58727860026,0,0
10100030402,13073.13013804749,0,0
10100030403,26405.59388278752,0,0
10100040101,3863.4481535878413,0,0
10100040102,21554.888792520112,0,0
10100040103,15130.189525044989,0,0
10100040104,9974.267824166267,0,0
10100040201,25825.91209193198,0,0
10100040202,5717.77793328906,0,0
10100040203,19468.851481303067,0,0
10100040301,19699.293408393423,0,0
10100040302,11519.719378759246,0,0
10100040303,26648.880616563638,0,0
10100040304,11756.131075541685,0,0
10100040305,17130.159974588812,0,0
10100040306,21482.872296027326,0,0
10100040401,27497.458614981162,0,0
10100040402,26551.833459261485,0,0
10100040501,26534.888032813065,0,0
10100040502,25567.777575811462,0,0
10100040503,18947.24580685007,0,0
10100040504,10786.910597067155,0,0
10100040505,25802.168187379488,0,0
10100040506,23192.86616688415,0,0
10100040507,21343.284030772324,0,0
10100040601,16810.497937748896,0,0
10100040602,10524.63527488589,0,0
10100040603,34060.55393853374,0,0
10100040604,11827.916317607596,0,0
10100040605,10255.081938177455,0,0
10100040606,29082.80937507922,0,0
10100040701,17624.406682221244,0,0
10100040702,10858.701235030632,0,0
10100040703,1141.5623321435878,0,0
10100040801,22220.162605917943,0,0
10100040802,30540.18748911197,0,0
10100040803,11108.243024312731,0,0
10100040804,9684.284800387706,0,0
10100040805,24208.492970915795,0,0
10100040806,17604.012113223715,0,0
10100040901,12472.986224956952,0,0
10100040902,8893.298830858008,0,0
10100040903,0,0,0
10100040904,4449.961664154335,0,0
10100041001,40108.19570173493,0,0
10100041002,11556.671204608672,0,0
10100041003,19559.501294180965,0,0
10100041004,9253.475667439165,0,0
10100041005,10747.14113265769,0,0
10100041006,25322.319807442393,0,0
10100041007,28385.083936377832,0,0
10100041101,15265.551486167891,0,0
10100041102,6625.377043955156,0,0
10100041103,15052.484354855027,0,0
10100041104,17850.22421188899,0,0
10100041105,11712.188847167441,0,0
10100041106,27200.95122158558,0,0
10100041107,29397.45110470449,0,0
10100041201,35561.31606042102,0,0
10100041202,27249.553855394366,0,0
10100041203,27016.25551154333,0,0
10100041301,0,0,0
10100041302,18277.664635207886,0,0
10100041303,6174.995778485248,0,0
10100041304,14356.269370339609,0,0
10100041305,15191.48137481294,0,0
10100041306,501.0674647070007,0,0
10100041307,23033.3960031259,0,0
10100041401,15442.129777555807,0,0
10100041402,638.2165865161924,0,0
10100041403,30500.0914638153,0,0
10100041404,18618.53299895323,0,0
10100041405,3513.7718899062097,0,0
10100041406,21412.737606587947,0,0
10100041407,10235.159176981426,0,0
10100041408,5159.877111824899,0,0
10100050101,12167.29994122856,0,0
10100050102,12888.136376474942,0,0
10100050103,17533.143652024686,0,0
10100050201,14215.595537120242,0,0
10100050202,24454.966446782222,0,0
10100050203,18775.28832819778,0,0
10100050204,11062.111914854624,0,0
10100050205,14327.18858443607,0,0
10100050206,2302.1895042527763,0,0
10100050301,11706.249169053677,0,0
10100050302,23286.28657121312,0,0
10100050303,20938.98281667009,0,0
10100050304,11008.768652362589,0,0
10100050305,29387.678041561663,0,0
10100050306,10219.431909143717,0,0
10100050307,21423.515389359676,0,0
10100050308,10888.959245776236,0,0
10100050309,0,0,0
10100060101,13973.434677206045,0,0
10100060102,13102.755278264183,0,0
10100060103,22914.036895841942,0,0
10100060104,28289.05218302471,0,0
10100060105,14135.443978348942,0,0
10100060106,1910.5706379475737,0,0
10100060107,9861.768418098678,0,0
10100060108,15349.155195358193,0,0
10100060109,31000.18226498503,0,0
10100060110,12106.538716683797,0,0
10100060111,30384.670634569684,0,0
10100060201,0,0,0
10100060202,4063.1204395700693,0,0
10100060203,5527.882336786639,0,0
10100060204,19657.991925725808,0,0
10100060205,4362.4429042792,0,0
10100060206,21952.650043681435,0,0
10100060207,13478.261841362673,0,0
10100060208,21617.580356035553,0,0
10100060209,17016.015113203644,0,0
10100060301,0,0,0
10100060302,0,0,0
10100060303,0,0,0
10100060304,0,0,0
10100060305,0,0,0
10100060306,0,0,0
10100060307,0,0,0
10100060308,0,0,0
10100060309,3176.643473132277,0,0
10100060401,0,0,0
10100060402,0,0,0
10100060403,0,0,0
10100060404,0,0,0
10100060405,0,0,0
10100060406,0,0,0
10100060407,0,0,0
10100060408,19.560004780039694,0,0
10100060409,18704.38147089379,0,0
10100070101,22781.177751170126,0,0
10100070102,9405.516659014538,0,0
10100070103,30266.245816559822,0,0
10100070201,12792.750459971912,0,0
10100070202,13863.54583788793,0,0
10100070203,34122.3149118572,0,0
10100070204,22291.373618757356,0,0
10100070205,25039.273322230663,0,0
10100070301,878.8296881890506,0,0
10100070302,0,0,0
10100070303,0,0,0
10100070304,0,0,0
10100070305,4856.126233072596,0,0
10100070401,0,0,0
10100070402,0,0,0
10100070403,0,0,0
10100070404,0,0,0
10100070405,0,0,0
10100070406,0,0,0
10100070407,0,0,0
10100070408,0,0,0
10100070409,0,0,0
10100070410,6108.655283316605,0,0
10100070501,0,0,0
10100070502,0,0,0
10100070503,0,0,0
10100070504,0,0,0
10100070505,0,0,0
10100070506,0,0,0
10100070601,371.41304950285354,0,0
10100070602,543.0479394793011,0,0
10100070603,17395.70379944014,0,0
10100070701,0,0,0
10100070702,0,0,0
10100070703,0,0,0
10100070801,17323.808007151747,0,0
10100070802,0,0,0
10100070803,0,0,0
10100070804,0,0,0
10100070805,5606.053207722166,0,0
10100070901,2027.2473782795407,0,0
10100070902,5125.837592751438,0,0
10100070903,0,0,0
10100070904,463.1138109993564,0,0
10100070905,244.94491447862907,0,0
10100070906,16667.32363221678,0,0
10100070907,13940.502671451402,0,0
10100070908,40040.21815045688,0,0
10100071001,2025.6969199631883,0,0
10100071002,12522.094451359797,0,0
10100071003,19671.81378011236,0,0
10100080101,27432.60617490816,0,0
10100080102,21518.405272084517,0,0
10100080103,21978.21573403154,0,0
10100080201,0,0,0
10100080202,0,0,0
10100080203,0,0,0
10100080204,0,0,0
10100080205,0,0,0
10100080206,0,0,0
10100080301,0,0,0
10100080302,0,0,0
10100080303,0,0,0
10100080304,0,0,0
10100080305,0,0,0
10100080306,0,0,0
10100080401,2646.897751225143,0,0
10100080402,0,0,0
10100080403,30251.809645158486,0,0
10100080404,6549.83320558377,0,0
10100080405,10525.709234465905,0,0
10100080406,8657.891139222591,0,0
10100080407,17458.46358845792,0,0
10100080408,25032.491202778954,0,0
10100080409,3893.6533903324157,0,0
10100080501,0,0,0
10100080502,0,0,0
10100080503,0,0,0
10100080504,21340.627625074394,0,0
10100080505,7348.053126873118,0,0
10100080601,0,0,0
10100080602,0,0,0
10100080603,0,0,0
10100080604,0,0,0
10100080605,0,0,0
10100080701,0,0,0
